pattern_id,organ_id
SP001,OZF010
SP002,OZF010
SP003,OZF010
SP004,OZF002
SP004,OZF005
SP004,OZF010
SP005,OZF005
SP007,OZF002
SP007,OZF005
SP008,OZF002
SP008,OZF005
SP010,OZF003
SP010,OZF007
SP011,OZF003
SP011,OZF007
SP012,OZF002
SP012,OZF005
SP016,OZF002
SP016,OZF003
SP016,OZF005
SP017,OZF009
SP017,OZF008
SP017,OZF011
SP018,OZF009
SP018,OZF008
SP018,OZF011
SP019,OZF009
SP019,OZF008
SP019,OZF011
SP020,OZF002
SP020,OZF005
SP021,OZF002
SP022,OZF002
SP022,OZF005
SP023,OZF005
SP024,OZF003
SP025,OZF003
SP026,OZF003
SP026,OZF005
SP027,OZF002
SP027,OZF005
SP028,OZF002
SP028,OZF003
SP029,OZF003
SP029,OZF002
SP029,OZF006
SP034,OZF006
SP035,OZF002
SP036,OZF002
SP037,OZF006
SP039,OZF002
SP039,OZF006
SP040,OZF010
SP040,OZF006
SP041,OZF002
SP041,OZF005
SP041,OZF003
SP041,OZF010
SP041,OZF006
SP042,OZF010
SP042,OZF006
SP043,OZF010
SP043,OZF006
SP044,OZF002
SP044,OZF005
SP045,OZF003
SP047,OZF002
SP047,OZF005
SP048,OZF001
SP048,OZF003
SP050,OZF002
SP050,OZF005
SP052,OZF003
SP053,OZF003
SP055,OZF002
SP055,OZF007
SP056,OZF002
SP056,OZF007
SP057,OZF002
SP057,OZF007
SP058,OZF003
SP058,OZF007
SP059,OZF002
SP060,OZF002
SP061,OZF002
SP061,OZF006
SP062,OZF002
SP064,OZF004
SP065,OZF004
SP066,OZF003
SP066,OZF004
SP067,OZF004
SP067,OZF005
SP071,OZF010
SP072,OZF004
SP073,OZF002
SP073,OZF010
SP074,OZF005
SP074,OZF010
SP075,OZF009
SP076,OZF009
SP077,OZF009
SP078,OZF003
SP078,OZF007
SP078,OZF002
SP078,OZF005
SP078,OZF009
