principle_id,pattern_id
TP001,SP001
TP001,SP002
TP001,SP003
TP001,SP004
TP001,SP006
TP001,SP007
TP001,SP008
TP001,SP009
TP001,SP010
TP001,SP011
TP001,SP012
TP001,SP013
TP001,SP014
TP001,SP015
TP001,SP016
TP001,SP017
TP001,SP018
TP001,SP019
TP001,SP031
TP001,SP032
TP001,SP033
TP001,SP034
TP001,SP040
TP001,SP041
TP001,SP042
TP001,SP043
TP001,SP063
TP001,SP064
TP001,SP065
TP001,SP068
TP001,SP069
TP001,SP070
TP003,SP021
TP003,SP029
TP003,SP030
TP003,SP035
TP003,SP036
TP003,SP038
TP003,SP039
TP003,SP055
TP003,SP056
TP003,SP057
TP003,SP059
TP003,SP060
TP003,SP061
TP003,SP071
TP003,SP072
TP003,SP073
TP003,SP075
TP003,SP076
TP003,SP077
TP004,SP004
TP004,SP007
TP004,SP008
TP004,SP009
TP004,SP010
TP004,SP011
TP004,SP012
TP004,SP016
TP004,SP025
TP004,SP028
TP004,SP037
TP004,SP041
TP004,SP046
TP004,SP049
TP004,SP053
TP004,SP057
TP004,SP064
TP004,SP065
TP004,SP070
TP005,SP001
TP005,SP005
TP005,SP007
TP005,SP010
TP005,SP013
TP005,SP014
TP005,SP017
TP005,SP023
TP005,SP026
TP005,SP031
TP005,SP034
TP005,SP040
TP005,SP041
TP005,SP058
TP005,SP064
TP005,SP066
TP005,SP067
TP005,SP068
TP005,SP074
TP005,SP078
TP006,SP002
TP006,SP008
TP006,SP009
TP006,SP015
TP006,SP016
TP006,SP018
TP006,SP020
TP006,SP021
TP006,SP022
TP006,SP027
TP006,SP029
TP006,SP032
TP006,SP036
TP006,SP039
TP006,SP042
TP006,SP044
TP006,SP050
TP006,SP056
TP006,SP059
TP006,SP061
TP006,SP062
TP006,SP063
TP006,SP065
TP006,SP069
TP006,SP071
TP006,SP072
TP006,SP075
TP006,SP077
TP007,SP021
TP007,SP025
TP007,SP028
TP007,SP029
TP007,SP030
TP007,SP035
TP007,SP036
TP007,SP038
TP007,SP039
TP007,SP046
TP007,SP049
TP007,SP053
TP007,SP055
TP007,SP056
TP007,SP057
TP007,SP059
TP007,SP060
TP007,SP061
TP007,SP071
TP007,SP072
TP007,SP073
TP007,SP075
TP007,SP076
TP007,SP077
TP008,SP004
TP008,SP005
TP008,SP007
TP008,SP008
TP008,SP010
TP008,SP011
TP008,SP012
TP008,SP016
TP008,SP020
TP008,SP022
TP008,SP023
TP008,SP024
TP008,SP025
TP008,SP026
TP008,SP027
TP008,SP028
TP008,SP041
TP008,SP044
TP008,SP045
TP008,SP046
TP008,SP047
TP008,SP048
TP008,SP049
TP008,SP050
TP008,SP051
TP008,SP052
TP008,SP053
TP008,SP054
TP008,SP058
TP008,SP062
TP008,SP064
TP008,SP065
TP008,SP066
TP008,SP067
TP008,SP070
TP008,SP074
TP008,SP078
