formula_name_vi,herb_name,dosage_value,dosage_unit
Hoàng Kỳ Miết Giáp Tán,Hoàng Kỳ,20g,""
Hoàng Kỳ Miết Giáp Tán,Chích Miết Giáp,20g,""
Hoàng Kỳ Miết Giáp Tán,Thiên Môn,20g,""
Hoàng Kỳ Miết Giáp Tán,Tần Giao,12g,""
Hoàng Kỳ Miết Giáp Tán,Sài Hồ,12g,""
Hoàng Kỳ Miết Giáp Tán,Bạch Linh,12g,""
Hoàng Kỳ Miết Giáp Tán,Tang Bạch Bì,12g,""
Hoàng Kỳ Miết Giáp Tán,Tử Uyển,12g,""
Hoàng Kỳ Miết Giáp Tán,Bán Hạ,12g,""
Hoàng Kỳ Miết Giáp Tán,Bạch Thược,12g,""
Hoàng Kỳ Miết Giáp Tán,Sinh Địa,12g,""
Hoàng Kỳ Miết Giáp Tán,Tri Mẫu,12g,""
Hoàng Kỳ Miết Giáp Tán,Chích Thảo,12g,""
Hoàng Kỳ Miết Giáp Tán,Đảng Sâm,6g,""
Hoàng Kỳ Miết Giáp Tán,Cát Cánh,6g,""
Hoàng Kỳ Miết Giáp Tán,Nhục Quế,6g,""
Phương Hương Hóa Thấp,Hoắc Hương,"",""
Phương Hương Hóa Thấp,Bạch Đậu Khấu,"",""
Phương Hương Hóa Thấp,Thương Trụt,"",""
Phương Hương Hóa Thấp,Trần Bì,"",""
Sâm linh bạch truật tán,Đảng sâm,12g,""
Sâm linh bạch truật tán,Bạch linh,12g,""
Sâm linh bạch truật tán,Bạch truật,12g,""
Sâm linh bạch truật tán,Chích thảo,12g,""
Sâm linh bạch truật tán,Hoài sơn,12g,""
Sâm linh bạch truật tán,Bạch Biển đậu,10-12g,""
Sâm linh bạch truật tán,Liên nhục,10-12g,""
Sâm linh bạch truật tán,Ý dĩ,10-12g,""
Sâm linh bạch truật tán,Cát cánh,6-8g,""
Sâm linh bạch truật tán,Sa nhân,6-8g,""
"Thuốc bổ mát, lợi tiểu, kiện tỳ vị",Sam hoa nách,5-10g,"dạng thuốc sắc hoặc bột, làm viên ngậm uống"
CẢM MẠO PHIẾN,Kiết cánh,"",""
CẢM MẠO PHIẾN,Bạc hà,"",""
CẢM MẠO PHIẾN,Cam thảo,"",""
CẢM MẠO PHIẾN,Kinh giới,"",""
CẢM MẠO PHIẾN,Kim ngân hoa,"",""
CẢM MẠO PHIẾN,Ngưu bàng tử,"",""
CẢM MẠO PHIẾN,Đậu cổ non,"",""
CẢM MẠO PHIẾN,Liên kiều,"",""
CẢM MẠO PHIẾN,Lá tre non,"",""
CẢM MẠO PHIẾN,Lá dâu,"",""
CẢM MẠO PHIẾN,Câu đằng,"",""
CẢM MẠO PHIẾN,Bạch cúc hoa,"",""
NGÂN KIỀU GIẢI ĐỘC HOÀN,Kim ngân hoa,"",""
NGÂN KIỀU GIẢI ĐỘC HOÀN,Liên kiều,"",""
NGÂN KIỀU GIẢI ĐỘC HOÀN,Cam thảo,"",""
NGÂN KIỀU GIẢI ĐỘC HOÀN,Kinh giới,"",""
NGÂN KIỀU GIẢI ĐỘC HOÀN,Kiết cánh,"",""
NGÂN KIỀU GIẢI ĐỘC HOÀN,Đậu cổ non,"",""
NGÂN KIỀU GIẢI ĐỘC HOÀN,Bạc hà,"",""
NGÂN KIỀU GIẢI ĐỘC HOÀN,Ngưu bàng tử,"",""
NGÂN KIỀU GIẢI ĐỘC HOÀN,Lá tre non,"",""
NGỌ THỜI TRÀ,Mao truật,"",""
NGỌ THỜI TRÀ,Bạnh chỉ,"",""
NGỌ THỜI TRÀ,Lục khúc,"",""
NGỌ THỜI TRÀ,Mạch nha,"",""
NGỌ THỜI TRÀ,Trần bì,"",""
NGỌ THỜI TRÀ,Chỉ thực,"",""
NGỌ THỜI TRÀ,Phòng phong,"",""
NGỌ THỜI TRÀ,Xuyên khung,"",""
NGỌ THỜI TRÀ,Tử tô,"",""
NGỌ THỜI TRÀ,Sài hồ,"",""
NGỌ THỜI TRÀ,Thổ hoắc hương,"",""
NGỌ THỜI TRÀ,Sơn tra,"",""
NGỌ THỜI TRÀ,Hậu phác,"",""
NGỌ THỜI TRÀ,Hồng trà diệp,"",""
Tế sinh phương,Tiên sinh địa,40 gam,""
Tế sinh phương,Tiểu kế,20-40 gam,""
Tế sinh phương,Hoạt thạch,20-40 gam,""
Tế sinh phương,Mộc thông,4-6 gam,""
Tế sinh phương,Sao bồ hoàng,12 gam,""
Tế sinh phương,Đạm trúc diệp,12 gam,""
Tế sinh phương,Ngẫu tiết,12 gam,""
Tế sinh phương,Đương quy,12 gam,""
Tế sinh phương,Sơn chi,12 gam,""
Tế sinh phương,Chích thảo,4 gam,""
